sequence_id,sp,scaffold_base,propeptide,nglyc,protein_length,raw_pll_mean,pseudo_pLDDT
sp_SPalpA__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_native,SPalpA,glaA_trunc_KR_pts1ok,none,nglyc_native,271,-0.1154,89.56
sp_SPalpA__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_ablated,277,-0.1348,89.01
sp_SPalpA__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_native,277,-0.1348,89.01
sp_SPalpA__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_ablated,282,-0.1443,88.73
sp_SPalpA__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_native,282,-0.1443,88.73
sp_SPalpA__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA,tandem_KEX2_pts1ok,none,nglyc_ablated,271,-0.1154,89.56
sp_SPalpA__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_native,SPalpA,tandem_KEX2_pts1ok,none,nglyc_native,271,-0.1154,89.56
sp_SPalpA__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_ablated,277,-0.1348,89.01
sp_SPalpA__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_native,277,-0.1348,89.01
sp_SPalpA_pro__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,direct_3xAla_pts1blk,long_kex2_pro,nglyc_ablated,299,-0.1528,88.49
sp_SPalpA_pro__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,direct_3xAla_pts1blk,long_kex2_pro,nglyc_native,299,-0.1528,88.49
sp_SPalpA_pro__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_ablated,SPalpA_pro,direct_3xAla_pts1blk,none,nglyc_ablated,288,-0.1508,88.55
sp_SPalpA_pro__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_native,SPalpA_pro,direct_3xAla_pts1blk,none,nglyc_native,288,-0.1508,88.55
sp_SPalpA_pro__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,294,-0.1470,88.66
sp_SPalpA_pro__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,294,-0.1470,88.66
sp_SPalpA_pro__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,direct_his6_pts1ok,long_kex2_pro,nglyc_ablated,302,-0.1460,88.69
sp_SPalpA_pro__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,direct_his6_pts1ok,long_kex2_pro,nglyc_native,302,-0.1460,88.69
sp_SPalpA_pro__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA_pro,direct_his6_pts1ok,none,nglyc_ablated,291,-0.1438,88.75
sp_SPalpA_pro__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_native,SPalpA_pro,direct_his6_pts1ok,none,nglyc_native,291,-0.1438,88.75
sp_SPalpA_pro__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,297,-0.1404,88.84
sp_SPalpA_pro__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,direct_his6_pts1ok,short_kex2_pro,nglyc_native,297,-0.1404,88.84
sp_SPalpA_pro__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,direct_natag_pts1ok,long_kex2_pro,nglyc_ablated,296,-0.1477,88.64
sp_SPalpA_pro__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,direct_natag_pts1ok,long_kex2_pro,nglyc_native,296,-0.1477,88.64
sp_SPalpA_pro__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA_pro,direct_natag_pts1ok,none,nglyc_ablated,285,-0.1454,88.70
sp_SPalpA_pro__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_native,SPalpA_pro,direct_natag_pts1ok,none,nglyc_native,285,-0.1454,88.70
sp_SPalpA_pro__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,291,-0.1416,88.81
sp_SPalpA_pro__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,direct_natag_pts1ok,short_kex2_pro,nglyc_native,291,-0.1416,88.81
sp_SPalpA_pro__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_ablated,299,-0.1528,88.49
sp_SPalpA_pro__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_native,299,-0.1528,88.49
sp_SPalpA_pro__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_ablated,SPalpA_pro,glaA_KRGGG_3xAla,none,nglyc_ablated,288,-0.1508,88.55
sp_SPalpA_pro__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_native,SPalpA_pro,glaA_KRGGG_3xAla,none,nglyc_native,288,-0.1508,88.55
sp_SPalpA_pro__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_ablated,294,-0.1470,88.66
sp_SPalpA_pro__sb_glaA_KRGGG_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KRGGG_3xAla,short_kex2_pro,nglyc_native,294,-0.1470,88.66
sp_SPalpA_pro__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_ablated,296,-0.1477,88.64
sp_SPalpA_pro__sb_glaA_KRGGG_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KRGGG_pts1ok,long_kex2_pro,nglyc_native,296,-0.1477,88.64
sp_SPalpA_pro__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA_pro,glaA_KRGGG_pts1ok,none,nglyc_ablated,285,-0.1454,88.70
sp_SPalpA_pro__sb_glaA_KRGGG_pts1ok__prop_none__nglyc_nglyc_native,SPalpA_pro,glaA_KRGGG_pts1ok,none,nglyc_native,285,-0.1454,88.70
sp_SPalpA_pro__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_ablated,291,-0.1416,88.81
sp_SPalpA_pro__sb_glaA_KRGGG_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KRGGG_pts1ok,short_kex2_pro,nglyc_native,291,-0.1416,88.81
sp_SPalpA_pro__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KR_3xAla,long_kex2_pro,nglyc_ablated,299,-0.1528,88.49
sp_SPalpA_pro__sb_glaA_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KR_3xAla,long_kex2_pro,nglyc_native,299,-0.1528,88.49
sp_SPalpA_pro__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPalpA_pro,glaA_KR_3xAla,none,nglyc_ablated,288,-0.1508,88.55
sp_SPalpA_pro__sb_glaA_KR_3xAla__prop_none__nglyc_nglyc_native,SPalpA_pro,glaA_KR_3xAla,none,nglyc_native,288,-0.1508,88.55
sp_SPalpA_pro__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KR_3xAla,short_kex2_pro,nglyc_ablated,294,-0.1470,88.66
sp_SPalpA_pro__sb_glaA_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KR_3xAla,short_kex2_pro,nglyc_native,294,-0.1470,88.66
sp_SPalpA_pro__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KR_pts1ok,long_kex2_pro,nglyc_ablated,296,-0.1477,88.64
sp_SPalpA_pro__sb_glaA_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KR_pts1ok,long_kex2_pro,nglyc_native,296,-0.1477,88.64
sp_SPalpA_pro__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA_pro,glaA_KR_pts1ok,none,nglyc_ablated,285,-0.1454,88.70
sp_SPalpA_pro__sb_glaA_KR_pts1ok__prop_none__nglyc_nglyc_native,SPalpA_pro,glaA_KR_pts1ok,none,nglyc_native,285,-0.1454,88.70
sp_SPalpA_pro__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_KR_pts1ok,short_kex2_pro,nglyc_ablated,291,-0.1416,88.81
sp_SPalpA_pro__sb_glaA_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_KR_pts1ok,short_kex2_pro,nglyc_native,291,-0.1416,88.81
sp_SPalpA_pro__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_ablated,299,-0.1528,88.49
sp_SPalpA_pro__sb_glaA_trunc_KR_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_trunc_KR_3xAla,long_kex2_pro,nglyc_native,299,-0.1528,88.49
sp_SPalpA_pro__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_ablated,SPalpA_pro,glaA_trunc_KR_3xAla,none,nglyc_ablated,288,-0.1508,88.55
sp_SPalpA_pro__sb_glaA_trunc_KR_3xAla__prop_none__nglyc_nglyc_native,SPalpA_pro,glaA_trunc_KR_3xAla,none,nglyc_native,288,-0.1508,88.55
sp_SPalpA_pro__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_ablated,294,-0.1470,88.66
sp_SPalpA_pro__sb_glaA_trunc_KR_3xAla__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_trunc_KR_3xAla,short_kex2_pro,nglyc_native,294,-0.1470,88.66
sp_SPalpA_pro__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_ablated,296,-0.1477,88.64
sp_SPalpA_pro__sb_glaA_trunc_KR_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_trunc_KR_pts1ok,long_kex2_pro,nglyc_native,296,-0.1477,88.64
sp_SPalpA_pro__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA_pro,glaA_trunc_KR_pts1ok,none,nglyc_ablated,285,-0.1454,88.70
sp_SPalpA_pro__sb_glaA_trunc_KR_pts1ok__prop_none__nglyc_nglyc_native,SPalpA_pro,glaA_trunc_KR_pts1ok,none,nglyc_native,285,-0.1454,88.70
sp_SPalpA_pro__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_ablated,291,-0.1416,88.81
sp_SPalpA_pro__sb_glaA_trunc_KR_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,glaA_trunc_KR_pts1ok,short_kex2_pro,nglyc_native,291,-0.1416,88.81
sp_SPalpA_pro__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_ablated,296,-0.1477,88.64
sp_SPalpA_pro__sb_tandem_KEX2_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPalpA_pro,tandem_KEX2_pts1ok,long_kex2_pro,nglyc_native,296,-0.1477,88.64
sp_SPalpA_pro__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_ablated,SPalpA_pro,tandem_KEX2_pts1ok,none,nglyc_ablated,285,-0.1454,88.70
sp_SPalpA_pro__sb_tandem_KEX2_pts1ok__prop_none__nglyc_nglyc_native,SPalpA_pro,tandem_KEX2_pts1ok,none,nglyc_native,285,-0.1454,88.70
sp_SPalpA_pro__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPalpA_pro,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_ablated,291,-0.1416,88.81
sp_SPalpA_pro__sb_tandem_KEX2_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPalpA_pro,tandem_KEX2_pts1ok,short_kex2_pro,nglyc_native,291,-0.1416,88.81
sp_SPamyB__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,direct_3xAla_pts1blk,long_kex2_pro,nglyc_ablated,284,-0.1348,89.01
sp_SPamyB__sb_direct_3xAla_pts1blk__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,direct_3xAla_pts1blk,long_kex2_pro,nglyc_native,284,-0.1348,89.01
sp_SPamyB__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_ablated,SPamyB,direct_3xAla_pts1blk,none,nglyc_ablated,273,-0.1148,89.58
sp_SPamyB__sb_direct_3xAla_pts1blk__prop_none__nglyc_nglyc_native,SPamyB,direct_3xAla_pts1blk,none,nglyc_native,273,-0.1148,89.58
sp_SPamyB__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,direct_3xAla_pts1blk,short_kex2_pro,nglyc_ablated,279,-0.1292,89.17
sp_SPamyB__sb_direct_3xAla_pts1blk__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,direct_3xAla_pts1blk,short_kex2_pro,nglyc_native,279,-0.1292,89.17
sp_SPamyB__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,direct_his6_pts1ok,long_kex2_pro,nglyc_ablated,287,-0.1268,89.24
sp_SPamyB__sb_direct_his6_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,direct_his6_pts1ok,long_kex2_pro,nglyc_native,287,-0.1268,89.24
sp_SPamyB__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB,direct_his6_pts1ok,none,nglyc_ablated,276,-0.1054,89.85
sp_SPamyB__sb_direct_his6_pts1ok__prop_none__nglyc_nglyc_native,SPamyB,direct_his6_pts1ok,none,nglyc_native,276,-0.1054,89.85
sp_SPamyB__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,282,-0.1200,89.43
sp_SPamyB__sb_direct_his6_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,direct_his6_pts1ok,short_kex2_pro,nglyc_native,282,-0.1200,89.43
sp_SPamyB__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,direct_natag_pts1ok,long_kex2_pro,nglyc_ablated,281,-0.1288,89.18
sp_SPamyB__sb_direct_natag_pts1ok__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,direct_natag_pts1ok,long_kex2_pro,nglyc_native,281,-0.1288,89.18
sp_SPamyB__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_ablated,SPamyB,direct_natag_pts1ok,none,nglyc_ablated,270,-0.1089,89.75
sp_SPamyB__sb_direct_natag_pts1ok__prop_none__nglyc_nglyc_native,SPamyB,direct_natag_pts1ok,none,nglyc_native,270,-0.1089,89.75
sp_SPamyB__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_ablated,SPamyB,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,276,-0.1234,89.33
sp_SPamyB__sb_direct_natag_pts1ok__prop_short_kex2_pro__nglyc_nglyc_native,SPamyB,direct_natag_pts1ok,short_kex2_pro,nglyc_native,276,-0.1234,89.33
sp_SPamyB__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_ablated,SPamyB,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_ablated,284,-0.1348,89.01
sp_SPamyB__sb_glaA_KRGGG_3xAla__prop_long_kex2_pro__nglyc_nglyc_native,SPamyB,glaA_KRGGG_3xAla,long_kex2_pro,nglyc_native,284,-0.1348,89.01
sp_SPamyB__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_ablated,SPamyB,glaA_KRGGG_3xAla,none,nglyc_ablated,273,-0.1148,89.58
sp_SPamyB__sb_glaA_KRGGG_3xAla__prop_none__nglyc_nglyc_native,SPamyB,glaA_KRGGG_3xAla,none,nglyc_native,273,-0.1148,89.58
